Region,Female Labor Force Participation Rate,GDP ($ per capita),Women Entrepreneurship Index,Entrepreneurship Index,Inflation rate,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Coastline (coast/area ratio),Net migration,Infant mortality (per 1000 births),Arable (%),Crops (%),Other (%),Birthrate,Deathrate,Agriculture,Industry,Service
BALTICS,67.13333333333334,11300.0,56.833333333333336,56.43333333333334,-0.5266666666666667,2394991.3333333335,58338.333333333336,39.833333333333336,3.116666666666667,-2.0333333333333337,8.103333333333333,30.310000000000002,0.61,69.08,9.343333333333334,12.63,0.045000000000000005,0.2933333333333333,0.6616666666666666
OCEANIA,66.8,29000.0,74.8,77.6,1.5,20264082.0,7686850.0,2.6,0.34,3.98,4.69,6.55,0.04,93.41,12.14,7.51,0.038,0.262,0.7
C.W. OF IND. STATES,65.2,8900.0,35.6,31.7,15.5,142893540.0,17075200.0,8.4,0.22,1.02,15.39,7.33,0.11,92.56,9.95,14.65,0.054,0.371,0.575
WESTERN EUROPE,64.32000000000001,28526.666666666668,62.14666666666667,62.88666666666667,0.20466666666666666,21585083.866666667,224500.13333333333,130.00666666666666,3.2799999999999994,2.1766666666666663,4.425333333333334,20.37,2.262666666666666,77.36733333333333,10.655333333333335,9.452666666666667,0.02826666666666667,0.2856666666666667,0.686
SUB-SAHARAN AFRICA,60.8,2200.0,25.8,24.8,17.2,22409572.0,239460.0,93.6,0.23,-0.64,51.43,16.26,9.67,74.07,30.52,9.72,0.366,0.246,0.387
EASTERN EUROPE,60.78333333333334,12433.333333333334,52.199999999999996,44.38333333333333,0.2333333333333333,10418883.5,92784.66666666667,100.26666666666667,1.7850000000000001,0.32,7.6450000000000005,30.51833333333333,1.8950000000000005,67.58833333333334,10.138333333333334,10.501666666666665,0.05633333333333334,0.31883333333333336,0.6251666666666668
ASIA (EX. NEAR EAST),60.41142857142857,14228.57142857143,41.800000000000004,45.785714285714285,1.1985714285714284,379047858.4285714,2020401.142857143,1161.3857142857141,6.068571428571429,1.5799999999999998,18.657142857142855,20.352857142857143,4.288571428571428,75.35857142857142,14.751428571428573,6.737142857142857,0.07557142857142858,0.3608571428571428,0.5637142857142857
LATIN AMER. & CARIB,57.53636363636363,6863.636363636364,36.47272727272727,31.71818181818181,5.271818181818182,36960705.27272727,1477846.9090909092,80.39090909090909,1.6863636363636367,-2.2381818181818183,23.11272727272727,10.07181818181818,3.502727272727272,86.42636363636365,20.13181818181818,6.138181818181818,0.08109090909090909,0.3050909090909091,0.613909090909091
NORTHERN AFRICA,35.93,5633.333333333333,28.599999999999998,31.266666666666666,6.866666666666667,40664037.333333336,1182266.6666666667,51.6,0.32666666666666666,-0.3933333333333333,29.453333333333333,7.983333333333333,4.823333333333333,87.19333333333334,18.53333333333333,4.989999999999999,0.12733333333333333,0.425,0.447
NEAR EAST,21.7,9250.0,38.15,52.1,4.45,48716844.5,1370581.0,52.0,0.525,-1.355,27.14,16.3,1.7,82.0,22.98,4.275,0.07500000000000001,0.4555,0.4695
